activityType;activityPosition;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
shop;4;0;0;0;0;0;0;0.17;0.34;0.68;3.76;7.86;12.82;20.51;27.86;41.03;56.58;76.92;92.82;98.63;99.83;100;100;100;100
shop;5;0;0;0;0;0;0;0;0;0.19;1.15;2.87;7.07;10.52;16.83;27.34;45.7;71.13;89.29;98.09;99.81;100;100;100;100
shop;6;0;0;0;0;0;0;0;0;0;0.69;0.69;6.21;8.97;16.55;26.9;41.38;62.76;80.69;95.17;100;100;100;100;100
shop;7;0;0;0;0;0;0;0;0;1.75;1.75;1.75;1.75;1.75;8.77;21.05;38.6;61.4;84.21;96.49;98.25;98.25;98.25;100;100
authority;1;0;0;0;0;0;0;0;8.96;28.36;58.21;83.58;86.57;88.06;88.06;88.06;94.03;100;100;100;100;100;100;100;100
authority;2;0;0;0;0;0;0;0;10.87;17.39;26.09;50;65.22;73.91;80.43;84.78;84.78;86.96;95.65;100;100;100;100;100;100
authority;3;0;0;0;0;0;0;0;0;3.45;17.24;31.03;34.48;44.83;51.72;72.41;86.21;96.55;96.55;100;100;100;100;100;100
authority;4;0;0;0;0;0;0;0;0;0;0;7.14;21.43;28.57;50;57.14;71.43;71.43;92.86;92.86;92.86;92.86;100;100;100
authority;5;0;0;0;0;0;0;0;0;0;0;50;50;50;50;50;50;100;100;100;100;100;100;100;100
authority;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;100;100;100;100;100;100
authority;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
doctor;1;0;0.09;0.09;0.09;0.09;0.35;3.32;20.21;47.68;69.47;85.74;89.94;92.3;94.66;96.06;98.6;99.48;99.91;99.91;100;100;100;100;100
doctor;2;0;0;0;0;0;0;0;4.05;15.79;34.41;51.82;63.97;67.21;72.47;82.19;89.47;95.95;99.6;100;100;100;100;100;100
doctor;3;0;0;0;0;0;0;0;0.56;4.79;14.08;21.97;30.7;35.21;44.51;59.15;72.11;87.61;97.75;99.72;100;100;100;100;100
doctor;4;0;0;0;0;0;0;0;1.67;5;13.33;15;31.67;35;43.33;58.33;66.67;83.33;93.33;96.67;98.33;98.33;98.33;100;100
doctor;5;0;0;0;0;0;0;0;0;0;0;7.04;14.08;14.08;22.54;43.66;63.38;76.06;87.32;98.59;100;100;100;100;100
doctor;6;0;0;0;0;0;0;0;0;0;0;0;0;0;10;15;35;50;75;100;100;100;100;100;100
doctor;7;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;20;40;80;100;100;100;100;100;100
recreation;1;0;0;0;0.06;0.12;1.17;4.73;14.01;31.59;49.17;62.63;67.92;71.85;79.29;87.28;90.96;93.18;95.39;97.66;99.51;99.82;100;100;100
recreation;2;0;0;0;0;0;0.11;0.11;0.91;3.54;7.89;15.09;22.29;40.34;52.69;62.63;70.74;81.71;91.66;96.46;98.86;99.66;100;100;100
recreation;3;0;0;0;0;0;0;0.03;0.17;0.68;2;4.51;7.13;10.93;19.01;31.94;43.04;55.97;69.08;84.66;95.99;99.08;99.59;99.97;100
recreation;4;0;0;0;0;0;0;0;0.1;0.31;1.23;3.17;6.95;11.45;27.2;37.73;47.24;59.61;72.8;86.3;95.4;98.36;99.28;99.8;100
recreation;5;0;0;0;0;0;0;0;0;0.17;0.66;1.24;1.98;4.21;12.48;20.83;30.33;44.05;58.26;77.36;92.07;96.86;98.18;99.67;100
recreation;6;0;0.21;0.21;0.42;0.42;0.42;0.42;0.42;0.42;0.42;0.42;1.47;4.4;15.3;24.32;33.75;45.07;62.26;77.99;92.45;95.81;97.9;99.58;100
recreation;7;0;0;0;0;0;0;0;0;0;0;0.36;1.08;2.51;5.73;11.83;16.85;30.11;48.03;68.46;85.66;93.19;97.49;99.28;100
bringing;1;0;0.05;0.05;0.05;0.38;2.08;10.54;52.59;75.7;81.49;85.04;88.69;91.75;94.1;96.34;97.82;98.63;99.34;99.73;99.84;99.89;99.95;100;100
bringing;2;0;0;0;0;0;0.3;1.2;2.71;7.23;14.16;19.88;31.63;50.6;59.94;74.1;81.63;90.36;95.78;98.49;99.1;99.1;99.4;99.7;100
bringing;3;0.08;0.08;0.08;0.08;0.08;0.08;0.33;1.74;3.4;4.89;6.8;19.57;35.99;45.69;59.87;69.82;81.51;89.05;95.44;98.26;99.34;99.67;100;100
bringing;4;0;0;0.22;0.22;0.22;0.22;0.43;0.43;0.86;0.86;3.67;19.65;31.53;39.31;49.03;60.48;74.73;88.55;95.25;97.19;98.49;99.35;99.78;100
bringing;5;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.56;0.56;1.5;9.02;16.73;25.19;33.46;43.23;60.71;74.62;86.47;94.36;97.37;98.12;99.44;100
bringing;6;0;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.99;7.43;13.37;19.31;28.71;35.15;46.53;64.36;79.7;91.58;95.54;98.51;99.01;100
bringing;7;0;0;0;0;0;0;0;0;0;0;0;2.21;7.35;11.76;16.91;25.74;41.91;63.24;78.68;86.03;94.12;95.59;99.26;100
